autoID,Car Park Name,Car Park Operator,Scheme Status,Part Time Award,Car Park Phone,Street 1,Street 2,Street 3,Town,County,Postcode,Physical Type,Payment Type,Number of Spaces,Disabled Spaces,Cycles,Motobike,Cars,Bus,Coach,Truck Parking Area,Monday Open,Monday Close,Monday 24,Monday Closed,Tuesday Open,Tuesday Close,Tuesday 24,Tuesday Closed,Wednesday Open,Wednesday Close,Wednesday 24,Wednesday Closed,Thursday Open,Thursday Close,Thursday 24,Thursday Closed,Friday Open,Friday Close,Friday 24,Friday Closed,Saturday Open,Saturday Close,Saturday 24,Saturday Closed,Sunday Open,Sunday Close,Sunday 24,Sunday Closed,Keywords,Long,Lat
3,Q Park - Royal Liverpool Car Park,Q Park Limited,Award,FALSE,0151 260 9471,Epworth Street,,,Liverpool,Merseyside,L7 8UL,Multi-storey,On Foot,500,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,Liverpool Hospital,-2.964698969,53.41081157
4,Bridge of Don Park & Ride,Aberdeen City Council,Award,FALSE,01224 707987,Claymore Drive,Bridge of Don,,Aberdeen,Aberdeenshire,AB23 8BL,Surface,Contract,600,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,06:30,19:00,FALSE,FALSE,06:30,19:00,FALSE,FALSE,06:30,19:00,FALSE,FALSE,06:30,19:00,FALSE,FALSE,06:30,19:00,FALSE,FALSE,08:00,18:30,FALSE,FALSE,,,FALSE,TRUE,"Aberdeen, Bridge of Don Park and Ride",-2.087762867,57.18608017
5,Thistle Parking Semple Street,Britannia Parking Scot.(Thistle Parking),Award,FALSE,0131 225 7480,Semple Street,,,Edinburgh,East Lothian,EH3 9BN,Underground,On Foot,203,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,Lothian Road. International Financial services District,-3.206597,55.945146
6,Thistle Parking Edinburgh Quay,Britannia Parking Scot.(Thistle Parking),Award,FALSE,0131 229 8816,Edinburgh Quay,131 Pilton Bridge,,Edinburgh,Scotland,EH3 9QG,Underground,On Foot,46,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,07:00,00:00,FALSE,FALSE,07:00,00:00,FALSE,FALSE,07:00,00:00,FALSE,FALSE,07:00,00:00,FALSE,FALSE,07:00,00:00,FALSE,FALSE,07:00,00:00,FALSE,FALSE,07:00,00:00,FALSE,FALSE,"financial services district, kings theatre, Castle, Odean, filmhouse, cameo,",-3.207514286,55.94333618
7,Q Park - QEMC - Womens Pay & Display,Q Park Limited,Award,FALSE,0870 442 0104,Queen Elizabeth Medical Centre,Edgbaston,,Birmingham,West Midlands,B15 2TH,Surface,Pay & Display,52,9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"Queen Elizabeth Hospital, Birmingham University train station, Harborne High Street",-1.936279223,52.4532689
10,"North & South Car Parks, Castle Quay Shopping Centre",Scottish Widows Property Authorised Contractual Scheme,Award,FALSE,01295 256296,Castle Street,,,Banbury,Oxfordshire,OX16 5UN,Multi-storey,On Foot,830,38,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,08:00,20:00,FALSE,FALSE,08:00,20:00,FALSE,FALSE,08:00,20:00,FALSE,FALSE,08:00,20:00,FALSE,FALSE,08:00,20:00,FALSE,FALSE,08:00,20:00,FALSE,FALSE,09:00,20:00,FALSE,FALSE,"castle quay shopping, tourist information centre banbury, banbury museum, spice ball sports and leis",-1.334957876,52.06334465
11,Freeman Hospital MSCP,The Newcastle-upon-Tyne Hospitals NHS Trust,Award,FALSE,0191 233 6161,Freeman Hospital,Freeman Road,High Heaton,Newcastle-upon-Tyne,Tyne and Wear,NE7 7DN,Multi-storey,Contract,812,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,Freeman Hospital,-1.593396574,55.00278024
15,Britford Park & Ride,Wiltshire Council,Award,FALSE,01722 349061,Downton Road,,,Salisbury,Wiltshire,SP5 4DS,Surface-Urban,On Foot,480,10,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,06:20,20:00,FALSE,FALSE,06:20,20:00,FALSE,FALSE,06:20,20:00,FALSE,FALSE,06:20,20:00,FALSE,FALSE,06:20,20:00,FALSE,FALSE,07:00,20:00,FALSE,FALSE,,,FALSE,TRUE,,-1.777814981,51.04943981
17,Kingdom Shopping Centre Car Park,Mars Pension Trustees Limited - Property M106,Award,FALSE,01592 758693,14-16 Lyon Way,,,Kingdon Shopping Centre,Glenrothes,KY7 5NW,Surface-Urban,Free,1345,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"Kingdom Shopping Centre, rothes hall, glenrothes,markinch train station, thornton station",-3.17062099,56.19656046
18,Kingdom Shopping Centre MSCP,Mars Pension Trustees Limited - Property M106,Award,FALSE,01592 758693,14-16 Lyon Way,,,Kingdon Shopping Centre,Glenrothes,KY7 5NW,Multi-storey,Free,374,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,06:30,20:45,FALSE,FALSE,06:30,20:45,FALSE,FALSE,06:30,20:45,FALSE,FALSE,06:30,20:45,FALSE,FALSE,06:30,20:45,FALSE,FALSE,06:30,18:45,FALSE,FALSE,06:30,18:45,FALSE,FALSE,"kingdom shopping centre, rothes hall,glenrothes,markinch train station,thorton station",-3.17062099,56.19656046
